source_id,target_id,score
H6WA07458,P00010454,4
P00009092,S0AL00156,4
H8ME02185,P00009621,4
H8IL06139,H6NV04020,4
H8NM02248,H8IL14174,4
H8NC09123,H8MI11254,4
H8IL06139,P80000722,4
S0SC00149,S2KY00012,4
P00009290,H8NC09123,4
P00010454,H8IL06139,4
S0AL00156,P00009092,4
H8ME02185,H8IL06139,4
P00009621,H0CA27085,4
H8IL14174,H8TX23121,4
H2PA17079,H8IL06139,4
H8NC09123,H0OH05074,4
S0SC00289,S0ME00111,4
H8IL06139,H8NJ03206,4
P80000722,H8IL06139,4
H8NM02248,S0NM00074,4
H8FL26039,H8IA03124,4
H8UT04053,H8SC01116,4
S4MI00355,H8NC09123,4
H8NM02248,H8OK05109,4
H8IA03124,H8IA01094,4
H6GA05217,H8CA05035,4
H8TX23121,H8IL14174,4
H8NC09123,H8VA02111,4
H0TX24167,P00010793,4
H0NH02181,H8NC09123,4
H8IA03124,H8FL26039,4
H8MI08102,H8IL14174,4
H8CA25074,H8CA10126,4
H8CA39174,H8IL06139,4
H8NJ03206,H8IA03124,4
H8IL14174,H8MI08102,4
H8CA48035,H8CA25074,4
H8KS03155,H8TX23121,4
S8OR00207,H8NC09123,4
H8CA05035,H6GA05217,4
H6MN02131,H8IL06139,4
H8TX07140,S0TX00233,4
H8NC09123,S8TN00311,4
H8IL06139,H8CA48035,4
H8IL06139,H2PA17079,4
H8IL06139,H8CA39174,4
H8CA48035,H8CA10126,4
P60007168,P00006486,4
H6CO01141,H8NC09123,4
H8NM02248,H8MI08102,4
P00009621,H8VA07094,4
S0ME00111,S0SC00289,4
H8TX07140,H8CA10167,4
H8NC09123,H8NJ11142,4
H8MA03106,H8NC09123,4
H8MI08102,H8CA45130,4
H8NJ11142,H8OK05109,4
H8NC09123,P00009290,4
H8NC09123,H8IA01094,4
S8OR00207,P00009621,4
H8IL14174,S0SC00289,4
H8TX07140,H8VA07094,4
H8IL06139,H8NY19181,4
H0OH05074,H8NC09123,4
P60007168,S0AZ00350,4
H8SC01116,H8OK05109,4
H8CA10126,H8CA10167,4
H8NM02248,H8IA03124,4
H8CA45130,P00010298,4
P00009423,H8CA10126,4
H8IA01094,H8IA03124,4
H8IL06139,H8NC09123,4
H8CA45130,H8IL14174,4
H8NC09123,H4CA12055,4
P00009621,H8ME02185,4
P00010454,H6WA07458,4
H8MI08102,H8NJ03206,4
H8CA25074,H8CA48035,4
H8NC09123,H0IA02156,4
H8IL06139,P00010454,4
H2TX35011,H8NC09123,4
P80006117,P00010454,4
H8NJ07223,H8GA06393,4
H8NC09123,H0CA22102,4
H8IL14174,H8NM02248,4
H8CA39174,H8NC09123,4
H6NV04020,H8IL06139,4
H8TX23121,H8TX25159,4
H8NJ03206,H8IL06139,4
H8OK05109,H8NJ11142,4
H8NJ03206,H8MI08102,4
H8TX10110,H8NC09123,4
H8CA10126,H8CA25074,4
H8IL06139,S6IL00151,4
H8TX23121,H8KS03155,4
H8NC09123,H8IL06139,4
H8NJ07223,H8VA07094,4
P00010298,P00009183,4
H8CA10126,P00009423,4
P80001571,H4WA04104,4
H8IA01094,H8NC09123,4
H8NC09123,H6CA24303,4
H8NY15148,H8IL14174,4
H8NJ03206,H8GA06393,4
H8VA02111,H8IL06139,4
H8CA25074,P00009423,4
H4CA12055,H8NC09123,4
H8NM02248,H8CA45130,4
H8IA01094,H8IL14174,4
H8VA07094,P00009621,4
S6OR00110,S8OR00207,4
H8IL06139,H8TX32098,4
H8TX07140,S0AZ00350,3
H8VA07094,H8CA10167,3
H8IA03124,H8TX07140,3
H8CA48035,H8NM02248,3
H6MN02131,H8TX07140,3
S6NV00200,S6IL00292,3
H0IA02156,H8IA01094,3
H8CA45130,H8ME02185,3
S0ME00111,S0AL00156,3
H8CA48035,H8NJ03206,3
S4CO00395,S8AZ00221,3
H8ME02185,H8TX07140,3
S8AZ00221,S4CO00395,3
H8TX25159,H8TX07140,3
H6MN02131,H8MI11254,3
P00009423,S0NH00219,3
H8VA07094,H8CA39174,3
H8CA25074,P80006117,3
H8CA10126,H8NY19181,3
P80006117,H8VA07094,3
S4AK00214,S0FL00338,3
P80000722,P00009290,3
H8NM02248,H8NJ11142,3
H8GA06393,H8TX23121,3
S0NM00058,P00009621,3
H6OH04082,S2KY00012,3
H8WA08189,P00010454,3
H6GA05217,P60007168,3
H8TX23121,H8IA01094,3
H8NJ03206,H8CA48035,3
H8NJ07223,H8NJ03206,3
H8TX07140,H8TX32098,3
H8NY19181,H8CA48035,3
P60007168,H6GA05217,3
H8MN05239,P00009621,3
H8CA39174,H8TX32098,3
H8ME02185,H8NM02248,3
H8TX23121,S0SC00289,3
H8NY15148,H6WA07458,3
H8VA07094,H8MN03143,3
S6IL00292,S6NV00200,3
H8NJ02166,H8OK05109,3
H8CA45130,H8NJ03206,3
P80000722,P00009795,3
H6MN02131,H8FL26039,3
H8KS03155,H8NM02248,3
P00009795,P80000722,3
H8TX23121,H6MN02131,3
H8OK05109,H8IA03124,3
P60007168,P00010793,3
P00009795,P80006117,3
H8MI11254,H8VA07094,3
H8TX07140,H8ME02185,3
H8FL26039,H8NM02248,3
S2KY00012,H6OH04082,3
H8ME02185,H8VA07094,3
H8GA06393,H8IA03124,3
P00009621,H8MN05239,3
P00010454,H8TX23121,3
H8VA07094,H8CA25074,3
